province,2015,2018,2021
Metropolitan Manila,4,2,3
Abra,29,19,22
Apayao,43,20,7
Benguet,4,6,6
Ifugao,42,15,8
Kalinga,41,12,8
Mountain Province,45,25,22
Ilocos Norte,8,4,3
Ilocos Sur,14,7,15
La Union,18,4,9
Pangasinan,23,13,18
Batanes,14,10,3
Cagayan,17,16,10
Isabela,18,17,20
Nueva Vizcaya,15,16,15
Quirino,28,13,9
Aurora,34,16,22
Bataan,1,8,12
Bulacan,4,5,11
Nueva Ecija,21,9,14
Pampanga,5,3,5
Tarlac,17,10,12
Zambales,17,15,24
Batangas,22,11,6
Cavite,9,5,10
Laguna,5,4,10
Quezon,24,13,22
Rizal,6,4,7
Marinduque,17,15,22
Occidental Mindoro,42,22,30
Oriental Mindoro,22,11,18
Palawan,18,12,14
Romblon,39,28,40
Albay,26,21,20
Camarines Norte,44,30,22
Camarines Sur,37,28,39
Catanduanes,43,20,24
Masbate,45,33,28
Sorsogon,57,26,30
Aklan,16,12,20
Antique,26,19,24
Capiz,12,6,9
Guimaras,5,9,10
Iloilo,22,16,18
Bohol,31,21,24
Cebu,24,15,29
Siquijor,51,10,3
Negros Occidental,33,19,22
Negros Oriental,43,26,29
Biliran,21,20,27
Eastern Samar,52,49,38
Leyte,33,28,28
Northern Samar,60,34,26
Western Samar,49,29,34
Southern Leyte,41,24,22
Zamboanga del Norte,61,45,51
Zamboanga del Sur,25,24,18
Zamboanga Sibugay,36,35,34
Bukidnon,54,28,29
Camiguin,36,24,21
Lanao del Norte,46,26,34
Misamis Occidental,45,27,25
Misamis Oriental,21,16,19
Compostela Valley,27,25,24
Davao del Norte,31,13,11
Davao del Sur,19,12,10
Davao Occidental,NULL,41,43
Davao Oriental,31,38,30
North Cotabato,43,29,32
Sarangani,53,42,41
South Cotabato,23,18,17
Sultan Kudarat,50,31,30
Agusan del Norte,33,24,31
Agusan del Sur,48,38,41
Dinagat Islands,44,33,33
Surigao Del Norte,37,34,28
Surigao Del Sur,41,25,31
Basilan,45,74,54
Lanao del Sur,77,71,11
Maguindanao,54,49,38
Sulu,69,82,63
Tawi-Tawi,18,22,37
